epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20069,0.67842,5.72198,0.92922,0.00056,0.95238,0.70829,0.56073,0.12726,100.811,0.2004,0.0002,0.0002,0.0002
2,9.93735,0.63322,3.15609,0.85704,0.00056,0.95238,0.00127,0.00084,0.1234,100.777,0.20153,0.000417921,0.000417921,0.000417921
3,13.0641,0.70038,2.47608,0.87191,0.00056,0.95238,0.00408,0.00231,0.15064,100.784,0.2179,0.000633664,0.000633664,0.000633664
4,16.0643,0.7089,2.89606,0.85229,0.00056,0.95238,0.90869,0.80999,0.16546,98.228,0.21777,0.000847229,0.000847229,0.000847229
5,19.0955,0.72788,2.39031,0.87217,1,0.64978,0.95501,0.83345,0.15287,85.8724,0.2151,0.00105862,0.00105862,0.00105862
6,22.1003,0.65324,2.20703,0.88817,1,0.61792,0.95501,0.79765,0.16885,86.8585,0.2207,0.00126782,0.00126782,0.00126782
7,25.2439,0.65106,1.98328,0.88754,1,0.92229,0.95501,0.83909,0.14295,82.7697,0.21393,0.00147486,0.00147486,0.00147486
8,28.3443,0.72539,1.9815,0.87877,1,0.94536,0.95503,0.84847,0.15451,58.8339,0.22036,0.00167971,0.00167971,0.00167971
9,31.2614,0.69402,1.81469,0.88757,0.99387,0.95238,0.95501,0.83097,0.16209,60.9215,0.22494,0.00188238,0.00188238,0.00188238
10,34.1337,0.80179,1.62514,0.9034,0.99381,0.95238,0.95501,0.73825,0.21435,45.1481,0.23481,0.0019109,0.0019109,0.0019109
11,37.0495,0.77388,1.74022,0.91265,0.99523,0.95238,0.95501,0.79777,0.18163,42.8306,0.22403,0.001901,0.001901,0.001901
12,40.1235,0.73757,1.48281,0.90784,0.99585,0.95238,0.95501,0.74137,0.21454,47.4794,0.23936,0.0018911,0.0018911,0.0018911
13,43.1938,0.66863,1.41091,0.88252,0.99337,0.95238,0.95501,0.75516,0.17477,42.291,0.22944,0.0018812,0.0018812,0.0018812
14,46.146,0.63833,1.52581,0.849,0.98792,0.95238,0.95501,0.81102,0.17092,35.6577,0.22036,0.0018713,0.0018713,0.0018713
15,49.133,0.70705,1.165,0.89944,0.99274,0.95238,0.95501,0.8414,0.16918,18.426,0.23213,0.0018614,0.0018614,0.0018614
16,52.1271,0.64341,1.17567,0.87463,0.9917,0.95238,0.95501,0.78488,0.20654,21.3679,0.23662,0.0018515,0.0018515,0.0018515
17,55.0929,0.62243,1.13796,0.85392,0.99438,0.95238,0.95501,0.81445,0.17343,22.104,0.2295,0.0018416,0.0018416,0.0018416
18,58.1985,0.65554,0.96249,0.89333,0.99642,0.95238,0.95501,0.82584,0.15217,19.0559,0.22236,0.0018317,0.0018317,0.0018317
19,61.1388,0.64811,1.02056,0.87346,0.99668,0.95238,0.95501,0.82068,0.15978,19.5643,0.22841,0.0018218,0.0018218,0.0018218
20,64.1066,0.61639,0.90907,0.89882,0.99338,0.95238,0.95501,0.81215,0.15059,26.1821,0.22244,0.0018119,0.0018119,0.0018119
21,67.0061,0.57048,0.94192,0.86517,0.99602,0.95238,0.95501,0.83863,0.14541,20.8504,0.2218,0.001802,0.001802,0.001802
22,69.9853,0.611,0.8939,0.89322,0.9966,0.95238,0.95502,0.84701,0.15617,4.21609,0.22156,0.0017921,0.0017921,0.0017921
23,73.0754,0.64877,0.86782,0.87628,0.99711,0.95238,0.95502,0.81722,0.1719,1.2494,0.22637,0.0017822,0.0017822,0.0017822
24,75.9628,0.63005,0.81144,0.87602,0.99698,0.95238,0.95502,0.85002,0.14461,1.34577,0.22181,0.0017723,0.0017723,0.0017723
25,78.8797,0.61124,0.77593,0.89262,0.99698,0.95238,0.95502,0.83036,0.13611,0.93635,0.21644,0.0017624,0.0017624,0.0017624
26,81.844,0.60403,0.70424,0.87291,0.9916,0.95238,0.95502,0.85296,0.1349,6.5623,0.21777,0.0017525,0.0017525,0.0017525
27,84.8316,0.621,0.74427,0.89836,0.91864,0.95238,0.94788,0.86566,0.12149,15.036,0.21435,0.0017426,0.0017426,0.0017426
