epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77148,1.14132,4.41238,1.29076,0,0,0,0,0,18.3594,0,0.001,0.001,0.091
2,11.0581,0.88181,3.72207,1.07151,0,0,0,0,0,15.75,0,0.00209584,0.00209584,0.0810958
3,14.289,0.78383,2.46966,0.95614,0,0,0,0,0,13.3281,0,0.00318733,0.00318733,0.0711873
4,17.37,0.78873,1.72175,0.94277,0,0,0,0,0,5.07812,0,0.00427446,0.00427446,0.0612745
5,20.4071,0.74331,1.31949,0.91141,0,0,0,0,0,2.70312,0,0.00535723,0.00535723,0.0513572
6,23.4866,0.79478,1.19847,0.92418,0,0,0,0,0,2.66016,0,0.00643565,0.00643565,0.0414356
7,26.52,0.81495,1.12283,0.93869,0,0,0,0,0,2.62891,0,0.00750971,0.00750971,0.0315097
8,29.593,0.78951,1.05371,0.93906,0,0,0,0,0,2.73633,0,0.00857942,0.00857942,0.0215794
9,32.6388,0.81761,1.22986,0.96191,0,0,0,0,0,2.98633,0,0.00964477,0.00964477,0.0116448
10,35.6654,0.78328,1.23443,0.92904,0,0,0,0,0,3.39062,0,0.0098218,0.0098218,0.0098218
11,38.6493,0.88136,1.09796,0.97713,0,0,0,0,0,3.06055,0,0.009802,0.009802,0.009802
12,41.5998,0.856,1.06702,0.97835,0,0,0,0,0,3.46094,0,0.0097822,0.0097822,0.0097822
13,44.7179,0.85106,1.00167,0.95924,0,0,0,0,0,3.30469,0,0.0097624,0.0097624,0.0097624
14,47.7931,0.74834,0.99615,0.95486,0,0,0,0,0,3.33008,0,0.0097426,0.0097426,0.0097426
15,50.9663,0.78517,1.00722,0.95492,0,0,0,0,0,2.64453,0,0.0097228,0.0097228,0.0097228
16,54.1462,0.78761,1.01376,0.95111,0,0,0,0,0,2.92773,0,0.009703,0.009703,0.009703
17,60.1496,0.73189,0.91103,0.9349,0,0,0,0,0,7.18359,0,0.0096832,0.0096832,0.0096832
18,64.8504,0.82238,0.94343,0.97143,0,0,0,0,0,0.98047,0,0.0096634,0.0096634,0.0096634
19,68.5928,0.79649,0.87636,0.96094,0,0,0,0,0,0.98828,0,0.0096436,0.0096436,0.0096436
20,71.7435,0.79144,0.81154,0.95268,0,0,0,0,0,2.63477,0,0.0096238,0.0096238,0.0096238
21,74.8906,0.76109,0.76206,0.93284,0,0,0,0,0,3.29688,0,0.009604,0.009604,0.009604
22,77.9369,0.79618,0.8353,0.98352,0,0,0,0,0,1.03125,0,0.0095842,0.0095842,0.0095842
23,81.0759,0.68177,0.78845,0.92228,0,0,0,0,0,3.31055,0,0.0095644,0.0095644,0.0095644
24,84.3722,0.73222,0.7864,0.93467,0,0,0,0,0,0.72949,0,0.0095446,0.0095446,0.0095446
25,87.3903,0.70564,0.73357,0.90784,0,0,0,0,0,1.84082,0,0.0095248,0.0095248,0.0095248
26,90.4098,0.69464,0.75765,0.92811,0,0,0,0,0,1.50977,0,0.009505,0.009505,0.009505
27,93.3999,0.71091,0.72228,0.92321,0,0,0,0,0,0.31445,0,0.0094852,0.0094852,0.0094852
28,96.3516,0.68606,0.70811,0.9241,0,0,0,0,0,3.35352,0,0.0094654,0.0094654,0.0094654
29,99.3717,0.73024,0.73092,0.94307,0,0,0,0,0,0.37695,0,0.0094456,0.0094456,0.0094456
30,102.444,0.64928,0.65889,0.90205,0,0,0,0,0,3.20312,0,0.0094258,0.0094258,0.0094258
31,105.495,0.73089,0.70785,0.95255,0,0,0,0,0,2.06445,0,0.009406,0.009406,0.009406
32,108.468,0.69442,0.64265,0.92917,0,0,0,0,0,0.19824,0,0.0093862,0.0093862,0.0093862
33,111.424,0.71269,0.65588,0.9264,0,0,0,0,0,0.20605,0,0.0093664,0.0093664,0.0093664
34,114.369,0.66942,0.6408,0.95021,0,0,0,0,0,0.01758,0,0.0093466,0.0093466,0.0093466
35,117.307,0.64881,0.64405,0.89354,0,0,0,0,0,0.08789,0,0.0093268,0.0093268,0.0093268
36,120.27,0.69674,0.67321,0.9258,0,0,0,0,0,0.10938,0,0.009307,0.009307,0.009307
37,123.214,0.69888,0.68639,0.91159,0,0,0,0,0,0.16602,0,0.0092872,0.0092872,0.0092872
38,126.185,0.68675,0.61415,0.91428,0,0,0,0,0,1.51953,0,0.0092674,0.0092674,0.0092674
39,129.174,0.68185,0.61175,0.93539,0,0,0,0,0,0.52637,0,0.0092476,0.0092476,0.0092476
40,132.126,0.68173,0.62185,0.91619,0,0,0,0,0,0.34766,0,0.0092278,0.0092278,0.0092278
41,135.088,0.71994,0.61746,0.93201,0,0,0,0,0,0.48242,0,0.009208,0.009208,0.009208
42,138.066,0.67148,0.5882,0.93314,0,0,0,0,0,0.51074,0,0.0091882,0.0091882,0.0091882
43,140.988,0.66034,0.60169,0.92983,0,0,0,0,0,0.49023,0,0.0091684,0.0091684,0.0091684
44,143.966,0.65731,0.59891,0.92572,0,0,0,0,0,0.11133,0,0.0091486,0.0091486,0.0091486
45,146.955,0.64737,0.59978,0.90956,0,0,0,0,0,0.0332,0,0.0091288,0.0091288,0.0091288
46,149.988,0.71321,0.61423,0.96684,0,0,0,0,0,0.00391,0,0.009109,0.009109,0.009109
47,152.998,0.61425,0.60507,0.90026,0,0,0,0,0,0.01953,0,0.0090892,0.0090892,0.0090892
48,155.989,0.67601,0.66215,0.91697,0,0,0,0,0,0.00195,0,0.0090694,0.0090694,0.0090694
49,158.997,0.6588,0.56334,0.89605,0,0,0,0,0,0.04297,0,0.0090496,0.0090496,0.0090496
50,162.244,0.64923,0.59895,0.91632,0,0,0,0,0,0.13477,0,0.0090298,0.0090298,0.0090298
51,165.429,0.64324,0.57895,0.91789,0,0,0,0,0,0.23047,0,0.00901,0.00901,0.00901
52,168.412,0.65476,0.58914,0.9125,0,0,0,0,0,0.31738,0,0.0089902,0.0089902,0.0089902
53,171.358,0.62427,0.55673,0.90741,0,0,0,0,0,0.58887,0,0.0089704,0.0089704,0.0089704
54,174.404,0.6165,0.5184,0.8779,0,0,0,0,0,1.17188,0,0.0089506,0.0089506,0.0089506
55,177.391,0.5941,0.50134,0.87333,0,0,0,0,0,1.95898,0,0.0089308,0.0089308,0.0089308
56,180.348,0.60027,0.53271,0.88704,0,0,0,0,0,7.59375,0,0.008911,0.008911,0.008911
57,183.328,0.64807,0.58607,0.90691,0,0,0,0,0,2.34961,0,0.0088912,0.0088912,0.0088912
58,186.361,0.59402,0.50269,0.89407,0,0,0,0,0,0.58057,0,0.0088714,0.0088714,0.0088714
59,189.384,0.60637,0.52722,0.9002,0,0,0,0,0,0.47754,0,0.0088516,0.0088516,0.0088516
60,192.356,0.61803,0.57546,0.89625,0,0,0,0,0,0.19434,0,0.0088318,0.0088318,0.0088318
61,195.284,0.58404,0.55288,0.87843,0,0,0,0,0,0.10938,0,0.008812,0.008812,0.008812
62,198.258,0.58835,0.54838,0.9041,0,0,0,0,0,0.06641,0,0.0087922,0.0087922,0.0087922
63,201.209,0.62809,0.55001,0.91339,0,0,0,0,0,0.48242,0,0.0087724,0.0087724,0.0087724
64,204.204,0.65764,0.53824,0.90835,0,0,0,0,0,5.61719,0,0.0087526,0.0087526,0.0087526
65,207.204,0.63953,0.56752,0.92817,0,0,0,0,0,5.46875,0,0.0087328,0.0087328,0.0087328
66,210.178,0.60091,0.53917,0.90619,0,0,0,0,0,1.99023,0,0.008713,0.008713,0.008713
67,213.182,0.65693,0.54569,0.92735,0,0,0,0,0,0.95117,0,0.0086932,0.0086932,0.0086932
68,216.207,0.59804,0.54745,0.87314,0,0,0,0,0,0.44824,0,0.0086734,0.0086734,0.0086734
69,219.272,0.5849,0.53328,0.88911,0,0,0,0,0,0.1377,0,0.0086536,0.0086536,0.0086536
70,222.326,0.60798,0.49684,0.90329,0,0,0,0,0,2.18945,0,0.0086338,0.0086338,0.0086338
71,226.499,0.59956,0.53886,0.90149,0,0,0,0,0,2.07617,0,0.008614,0.008614,0.008614
72,229.556,0.64174,0.54263,0.9093,0,0,0,0,0,0.76221,0,0.0085942,0.0085942,0.0085942
73,232.555,0.59636,0.51804,0.8987,0,0,0,0,0,1.33301,0,0.0085744,0.0085744,0.0085744
74,235.528,0.59054,0.48819,0.88087,0,0,0,0,0,0.00781,0,0.0085546,0.0085546,0.0085546
75,238.635,0.59406,0.50412,0.90323,0,0,0,0,0,0.03711,0,0.0085348,0.0085348,0.0085348
76,241.581,0.60239,0.49206,0.88527,0,0,0,0,0,0.08984,0,0.008515,0.008515,0.008515
77,244.527,0.61764,0.52696,0.92731,0,0,0,0,0,0.229,0,0.0084952,0.0084952,0.0084952
78,247.484,0.59374,0.53536,0.91825,0,0,0,0,0,0.08398,0,0.0084754,0.0084754,0.0084754
79,250.518,0.58449,0.50863,0.89579,0,0,0,0,0,0.02539,0,0.0084556,0.0084556,0.0084556
80,253.531,0.64807,0.52844,0.91395,0,0,0,0,0,0.00195,0,0.0084358,0.0084358,0.0084358
81,256.519,0.64244,0.49753,0.88965,0,0,0,0,0,0.04297,0,0.008416,0.008416,0.008416
82,259.46,0.64509,0.53253,0.92686,0,0,0,0,0,0.07227,0,0.0083962,0.0083962,0.0083962
83,262.44,0.60662,0.50085,0.90221,0,0,0,0,0,0.07227,0,0.0083764,0.0083764,0.0083764
